Country,GDP per capita (current US$),Human Development Index (HDI) ,Life expectancy at birth,Mean years of schooling,"Total Population, as of 1 July (thousands)","Median Age, as of 1 July (years)","Natural Change, Births minus Deaths (thousands)","Rate of Natural Change (per 1,000 population)",Population Change (thousands),Population Growth Rate (percentage),Population Annual Doubling Time (years),Births (thousands),Births by women aged 15 to 19 (thousands),"Crude Birth Rate (births per 1,000 population)",Total Fertility Rate (live births per woman),Net Reproduction Rate (surviving daughters per woman),Sex Ratio at Birth (males per 100 female births),Total Deaths (thousands),"Crude Death Rate (deaths per 1,000 population)","Life Expectancy at Birth, both sexes (years)","Life Expectancy at Age 15, both sexes (years)","Life Expectancy at Age 65, both sexes (years)","Life Expectancy at Age 80, both sexes (years)","Infant Deaths, under age 1 (thousands)","Infant Mortality Rate (infant deaths per 1,000 live births)",Live Births Surviving to Age 1 (thousands),"Under-Five Deaths, under age 5 (thousands)","Under-Five Mortality (deaths under age 5 per 1,000 live births)","Mortality before Age 40, both sexes (deaths under age 40 per 1,000 live births)","Mortality before Age 60, both sexes (deaths under age 60 per 1,000 live births)","Mortality between Age 15 and 50, both sexes (deaths under age 50 per 1,000 alive at age 15)","Mortality between Age 15 and 60, both sexes (deaths under age 60 per 1,000 alive at age 15)",Net Number of Migrants (thousands),"Net Migration Rate (per 1,000 population)"
Burundi,221.16,0.43,61.66,3.13,12551.21,15.58,343.74,27.37,329.31,2.62,26.42,437.60,35.48,34.84,5.08,2.21,102.50,93.86,7.47,61.66,51.64,12.45,5.33,16.39,37.49,423.66,22.80,52.49,170.61,337.15,166.37,280.13,-14.42,-1.15
Afghanistan,355.78,0.48,61.98,2.99,40099.46,16.73,1145.71,28.50,962.06,2.40,28.89,1440.94,189.47,35.84,4.64,2.06,105.20,295.24,7.34,61.98,51.36,11.89,5.00,64.12,44.69,1387.56,82.16,57.93,156.11,329.20,159.90,280.26,-183.67,-4.57
Syrian Arab Republic,420.62,0.58,72.06,5.10,21324.37,20.94,318.25,14.99,530.44,2.49,27.86,426.86,50.69,20.11,2.75,1.30,105.20,108.61,5.12,72.06,58.94,14.48,6.11,7.59,17.84,419.95,9.15,21.97,56.95,158.94,62.28,136.42,212.19,10.00
Central African Republic,461.14,0.40,53.89,4.33,5457.15,14.69,172.14,31.29,86.28,1.58,43.84,234.82,53.60,42.68,5.98,2.45,103.20,62.68,11.39,53.90,45.98,11.23,5.52,16.60,71.42,222.64,23.14,101.91,251.36,493.99,263.65,424.50,-85.86,-15.61
Madagascar,503.35,0.50,64.49,5.12,28915.65,18.96,689.61,23.85,688.86,2.38,29.10,895.05,183.00,30.95,3.85,1.73,103.90,205.44,7.10,64.49,53.85,13.03,5.54,31.64,35.41,867.93,43.11,48.75,137.60,285.51,132.28,234.72,-0.74,-0.03
Mozambique,504.04,0.45,59.32,3.20,32077.07,16.81,892.20,27.81,882.69,2.75,25.19,1174.35,290.50,36.60,4.64,2.06,102.00,282.15,8.79,59.33,49.29,10.75,4.45,60.89,52.01,1125.80,79.20,68.41,166.09,387.59,184.81,334.54,-9.52,-0.30
Sierra Leone,504.62,0.48,60.06,4.58,8420.64,18.83,187.36,22.25,185.82,2.21,31.41,264.11,46.05,31.36,3.98,1.69,103.40,76.75,9.11,60.06,52.55,11.56,4.86,19.02,72.01,250.34,26.13,99.50,174.42,333.84,128.37,247.99,-1.54,-0.18
Yemen,543.64,0.46,63.75,3.20,32981.64,18.67,782.83,23.70,681.36,2.07,33.55,1008.94,94.82,30.54,3.80,1.69,105.90,226.10,6.85,63.75,53.44,12.29,5.11,47.24,46.80,970.08,62.55,62.16,134.81,288.86,124.29,235.10,-101.47,-3.07
Somalia,576.52,,55.28,,17065.58,15.19,545.89,31.97,528.82,3.10,22.37,743.93,107.80,43.56,6.31,2.54,104.40,198.04,11.60,55.28,48.79,11.22,4.80,52.69,71.20,704.06,81.06,111.85,241.91,430.78,202.21,338.65,-17.07,-1.00
Democratic Republic of the Congo,576.97,0.48,59.19,7.02,95894.12,15.58,3104.11,32.35,3039.48,3.17,21.87,4034.95,541.83,42.05,6.16,2.62,102.20,930.84,9.70,59.19,50.76,11.96,5.09,209.90,52.28,3864.67,308.20,78.58,198.13,369.62,175.65,295.79,-64.64,-0.67
Niger,590.63,0.40,61.58,2.12,25252.72,14.46,938.68,37.15,934.27,3.70,18.73,1144.37,228.26,45.29,6.82,2.94,104.00,205.69,8.14,61.58,52.38,11.50,4.39,48.00,42.16,1104.02,83.09,75.39,157.12,316.43,134.28,249.32,-4.41,-0.17
Malawi,633.61,0.51,62.90,4.49,19889.74,16.77,514.77,25.88,513.00,2.58,26.88,653.70,139.85,32.86,3.92,1.81,101.40,138.93,6.98,62.90,50.82,12.67,6.25,17.98,27.54,637.86,24.65,38.20,130.33,355.34,181.17,324.28,-1.78,-0.09
Liberia,675.66,0.48,60.75,5.08,5193.42,17.95,116.73,22.45,104.88,2.02,34.33,162.69,35.50,31.29,4.09,1.78,103.90,45.96,8.84,60.75,51.37,11.72,5.11,9.43,57.99,155.39,12.21,75.49,159.89,350.60,154.72,288.51,-11.86,-2.28
Chad,685.69,0.39,52.53,2.57,17179.74,15.00,530.03,30.85,539.04,3.14,22.09,744.83,125.77,43.36,6.26,2.41,104.20,214.80,12.50,52.53,46.46,10.86,4.61,50.59,68.24,706.14,77.19,106.70,287.13,482.62,250.60,388.15,9.02,0.53
Sudan,749.71,0.51,65.27,3.82,45657.20,18.40,1223.82,26.80,1208.60,2.65,26.19,1534.33,182.45,33.60,4.46,1.99,104.10,310.52,6.80,65.27,54.96,13.44,5.70,59.44,38.79,1483.99,82.98,54.71,135.01,267.60,120.73,212.64,-15.22,-0.33
Gambia,772.15,0.50,62.08,4.64,2639.92,16.81,67.92,25.71,65.95,2.50,27.75,87.84,9.14,33.26,4.68,2.04,103.20,19.92,7.54,62.08,51.57,12.11,5.13,2.68,30.52,85.51,4.15,47.81,159.55,329.43,162.26,277.76,-1.96,-0.74
Guinea-Bissau,795.12,0.48,59.65,3.58,2060.72,18.26,46.12,22.37,44.74,2.17,31.93,64.09,9.81,31.09,4.01,1.73,104.10,17.97,8.72,59.65,50.21,11.51,5.02,3.27,51.04,61.48,4.73,74.23,173.39,376.58,177.53,316.20,-1.40,-0.68
Rwanda,821.17,0.53,66.07,4.43,13461.89,19.00,319.11,23.70,312.99,2.33,29.81,403.68,24.30,29.98,3.82,1.77,102.60,84.58,6.28,66.07,54.14,12.75,5.59,11.68,28.99,393.45,15.47,38.67,99.45,268.60,116.92,233.57,-6.11,-0.45
Mali,881.51,0.43,58.94,2.31,21904.98,15.08,709.60,32.37,687.37,3.14,22.09,912.90,179.58,41.64,5.96,2.51,103.30,203.30,9.27,58.94,50.73,11.09,4.23,50.34,55.41,872.53,78.49,88.23,191.86,360.25,162.37,283.31,-22.24,-1.01
Uganda,883.47,0.53,62.70,5.73,45853.78,15.94,1417.38,30.92,1460.84,3.19,21.76,1686.80,295.54,36.80,4.59,2.09,102.90,269.42,5.88,62.71,50.87,10.95,4.34,51.15,30.40,1642.19,69.03,41.62,125.00,328.11,159.22,292.96,43.47,0.95
Burkina Faso,888.78,0.45,59.27,2.11,22100.68,16.59,587.74,26.58,574.65,2.60,26.66,785.82,131.01,35.54,4.77,2.01,104.20,198.07,8.96,59.27,50.72,11.15,4.28,38.79,49.47,754.13,64.13,82.77,188.10,357.65,163.29,284.41,-13.10,-0.59
Tajikistan,916.69,0.69,71.59,11.33,9750.06,21.47,216.49,22.20,212.93,2.18,31.74,260.84,19.81,26.75,3.19,1.49,106.30,44.35,4.55,71.59,59.03,14.46,6.32,7.08,27.09,254.61,8.18,31.32,58.93,163.62,57.36,134.82,-3.56,-0.37
Ethiopia,925.00,0.50,64.97,3.20,120283.03,18.46,3080.52,25.61,3079.13,2.56,27.08,3895.73,459.67,32.38,4.16,1.86,105.50,815.21,6.78,64.98,54.17,13.16,5.57,133.84,34.42,3780.61,180.80,47.21,134.06,276.97,129.56,227.98,-1.39,-0.01
Togo,976.67,0.54,61.62,5.02,8644.83,18.65,204.81,23.69,203.81,2.36,29.40,275.44,34.71,31.86,4.26,1.83,102.70,70.62,8.17,61.62,52.00,12.01,4.62,12.16,44.23,265.32,16.99,62.37,171.52,322.85,156.33,260.57,-1.00,-0.12
